Energy,Ek,Ep
0.120059,0.062763,0.057296
0.385480,0.138938,0.246542
0.725400,0.194081,0.531319
1.104521,0.232696,0.871825
1.505698,0.261309,1.244388
1.922213,0.283973,1.638240
2.351028,0.302883,2.048145
2.791172,0.319399,2.471774
3.241649,0.334203,2.907446
3.702288,0.347708,3.354580
4.172281,0.360188,3.812093
4.651404,0.371919,4.279485
5.138952,0.382843,4.756109
5.634865,0.393177,5.241688
6.138554,0.402967,5.735587
6.649794,0.412274,6.237520
7.168485,0.421161,6.747324
7.694257,0.429677,7.264580
8.226634,0.437864,7.788770
8.765880,0.445739,8.320141
9.311707,0.453315,8.858391
9.863581,0.460651,9.402930
10.421834,0.467792,9.954043
10.985869,0.474693,10.511176
11.555446,0.481409,11.074037
12.131447,0.487941,11.643506
12.712894,0.494293,12.218601
13.299344,0.500508,12.798836
13.891681,0.506590,13.385091
14.489414,0.512545,13.976869
15.092335,0.518349,14.573985
15.700308,0.524073,15.176234
16.313490,0.529664,15.783826
16.931827,0.535146,16.396681
17.554675,0.540562,17.014113
18.182768,0.545870,17.636897
18.815876,0.551099,18.264777
19.453749,0.556266,18.897483
20.096031,0.561343,19.534688
20.743015,0.566366,20.176649
21.394290,0.571348,20.822942
22.050232,0.576263,21.473969
22.710844,0.581117,22.129727
23.375515,0.585918,22.789598
24.044891,0.590689,23.454202
24.718062,0.595398,24.122664
25.396032,0.600078,24.795954
26.078038,0.604719,25.473319
26.763978,0.609337,26.154641
27.454432,0.613874,26.840557
28.148540,0.618432,27.530108
28.846967,0.622937,28.224030
29.549093,0.627398,28.921695
30.255797,0.631845,29.623952
30.965709,0.636319,30.329390
31.679508,0.640713,31.038795
32.397576,0.645074,31.752501
33.118797,0.649459,32.469338
33.844156,0.653794,33.190362
34.572985,0.658129,33.914857
35.305489,0.662408,34.643081
36.041667,0.666718,35.374949
36.781271,0.671005,36.110266
37.524392,0.675237,36.849154
38.271086,0.679538,37.591548
39.021119,0.683763,38.337356
39.774337,0.687977,39.086360
40.531046,0.692194,39.838851
41.291336,0.696413,40.594923
42.054499,0.700626,41.353873
42.821159,0.704830,42.116329
43.590552,0.709010,42.881542
44.363567,0.713200,43.650367
45.139357,0.717338,44.422019
45.918290,0.721524,45.196766
46.700275,0.725701,45.974574
47.485297,0.729834,46.755464
48.273396,0.733998,47.539398
49.063987,0.738172,48.325815
49.857517,0.742313,49.115204
50.654170,0.746444,49.907725
51.453681,0.750576,50.703105
52.255598,0.754719,51.500879
53.060375,0.758841,52.301534
53.867876,0.762997,53.104879
54.678081,0.767088,53.910993
55.490919,0.771242,54.719677
56.306131,0.775406,55.530725
57.123933,0.779465,56.344468
57.944505,0.783649,57.160857
58.767098,0.787766,57.979332
59.592520,0.791884,58.800637
60.420067,0.795987,59.624080
61.250343,0.800119,60.450224
62.082931,0.804266,61.278664
62.917712,0.808391,62.109322
63.754468,0.812532,62.941936
64.593703,0.816648,63.777054
65.435289,0.820758,64.614531
66.278808,0.824905,65.453903
67.124765,0.829053,66.295712
67.972442,0.833175,67.139267
68.822469,0.837301,67.985168
69.674477,0.841407,68.833070
70.528523,0.845558,69.682965
71.384621,0.849695,70.534926
72.242551,0.853763,71.388789
73.102567,0.857978,72.244589
73.964340,0.862081,73.102259
74.828286,0.866226,73.962059
75.693703,0.870366,74.823337
76.560984,0.874482,75.686502
77.430198,0.878628,76.551569
78.301210,0.882754,77.418456
79.173790,0.886916,78.286874
80.048095,0.891036,79.157059
80.924196,0.895211,80.028985
81.801972,0.899336,80.902635
82.681450,0.903466,81.777984
83.562177,0.907631,82.654546
84.444782,0.911771,83.533012
85.328734,0.915904,84.412830
